term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,0.1,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,0.1,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,0.16311729092278385,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,0.16311729092278385,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,0.26607250597988097,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,0.26607250597988097,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,0.43401026364474377,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,0.43401026364474377,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,0.7079457843841379,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,0.7079457843841379,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,1.1547819846894583,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,1.1547819846894583,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,1.8836490894898001,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,1.8836490894898001,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,3.072557365267447,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,3.072557365267447,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,-0.5917972245111579,0.2321072959464525,0.0,0.010812362490766935,5.011872336272722,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,-0.7324112260823133,0.21584683651392483,0.0,6.962386922431398e-4,5.011872336272722,-0.5,1.0,gwd0.25,TRUE,FALSE
gwdegree,0.6370534864800927,0.8303328301651797,0.0,0.44298336942485994,0.1,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,0.6565567091508565,6.560258015888296,0.0,0.9202841312378334,0.1,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree,0.6370534864800927,0.8303328301651797,0.0,0.44298336942485994,0.16311729092278385,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,0.6565567091508565,6.560258015888296,0.0,0.9202841312378334,0.16311729092278385,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree,0.6370534864800927,0.8303328301651797,0.0,0.44298336942485994,0.26607250597988097,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,0.6565567091508565,6.560258015888296,0.0,0.9202841312378334,0.26607250597988097,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree,0.6370534864800927,0.8303328301651797,0.0,0.44298336942485994,0.43401026364474377,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,0.6565567091508565,6.560258015888296,0.0,0.9202841312378334,0.43401026364474377,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree,0.6370534864800927,0.8303328301651797,0.0,0.44298336942485994,0.7079457843841379,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree.decay,0.6565567091508565,6.560258015888296,0.0,0.9202841312378334,0.7079457843841379,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
gwdegree,0.6370534864800927,0.8303328301651797,0.0,0.44298336942485994,1.1547819846894583,-0.16666666666666669,1.0,gwd0.25,TRUE,FALSE
