
At 2016-10-18 20:04:15  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 1.88

At 2016-10-18 20:08:21  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 3.07

At 2016-10-18 20:12:27  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 5.01

At 2016-10-18 20:15:59  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.1

At 2016-10-18 20:19:50  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.16

At 2016-10-18 20:24:01  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.27

At 2016-10-18 20:28:17  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.43

At 2016-10-18 20:32:28  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.71

At 2016-10-18 20:36:44  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 1.15

At 2016-10-18 20:40:10  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 1.88

At 2016-10-18 20:43:41  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 3.07

At 2016-10-18 20:47:50  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 5.01

At 2016-10-18 20:52:16  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.1

At 2016-10-18 20:56:27  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.16

At 2016-10-18 21:00:42  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.27

At 2016-10-18 21:04:20  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.43

At 2016-10-18 21:07:36  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.71

At 2016-10-18 21:11:46  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 1.15

At 2016-10-18 21:15:47  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 1.88

At 2016-10-18 21:19:58  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 3.07

At 2016-10-18 21:24:08  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 5.01

At 2016-10-18 21:28:14  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.1

At 2016-10-18 21:31:18  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.16

At 2016-10-18 21:35:00  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.27

At 2016-10-18 21:39:02  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.43

At 2016-10-18 21:42:48  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.71

At 2016-10-18 21:46:57  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 1.15

At 2016-10-18 21:51:07  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 1.88

At 2016-10-18 21:54:42  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 3.07

At 2016-10-18 21:58:08  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 5.01

At 2016-10-18 22:02:29  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.1

At 2016-10-18 22:11:46  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.16

At 2016-10-18 22:20:18  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.27

At 2016-10-18 22:24:22  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.43

