
At 2016-10-20 04:40:28  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.1

At 2016-10-20 04:44:39  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.16

At 2016-10-20 04:48:30  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.27

At 2016-10-20 04:51:57  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.43

At 2016-10-20 04:55:50  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.71

At 2016-10-20 04:59:43  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.15

At 2016-10-20 05:03:39  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.88

At 2016-10-20 05:07:32  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 3.07

At 2016-10-20 05:11:21  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 5.01

At 2016-10-20 05:14:44  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.1

At 2016-10-20 05:17:51  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.16

At 2016-10-20 05:21:49  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.27

At 2016-10-20 05:25:52  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.43

At 2016-10-20 05:29:53  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.71

At 2016-10-20 05:33:52  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.15

At 2016-10-20 05:37:44  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.88

At 2016-10-20 05:40:51  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 3.07

At 2016-10-20 05:44:14  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 5.01

At 2016-10-20 05:48:08  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.1

At 2016-10-20 05:52:08  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.16

At 2016-10-20 05:56:05  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.27

At 2016-10-20 05:59:55  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.43

At 2016-10-20 06:03:32  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 0.71

At 2016-10-20 06:06:44  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 1.15

At 2016-10-20 06:10:27  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 1.88

At 2016-10-20 06:14:13  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 3.07

At 2016-10-20 06:17:58  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.17, decay = 5.01

At 2016-10-20 06:21:53  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.1

At 2016-10-20 06:25:59  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.16

At 2016-10-20 06:29:30  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.27

At 2016-10-20 06:32:43  Sim'ing on gwd3.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: 0.5, decay = 0.43

