term,estimate,std.error,mcmc.error,p.value,theta_s,simCoef,meanDegree,sim_parameter,edges_constrained,fixed_decay
gwdegree,0.386058977646116,0.766871998757392,0.0,0.6146911743078949,0.1,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,0.6475367779755321,11.938512365773695,0.0,0.9567466850897958,0.1,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-5.047261267583841,2.6796976990238517,0.0,0.059688688277667074,0.1,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.3846546026239577,0.8849389754269013,0.0,0.6638224305488799,0.16311729092278385,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,0.72667665463809,5.522324763273796,0.0,0.8953148148302622,0.16311729092278385,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-5.062756267702348,0.9198459029641071,0.0,3.901744581113639e-8,0.16311729092278385,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.47791490091666744,1.1025255630060686,0.0,0.6646901842357834,0.26607250597988097,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,0.9669129307550851,1.4619912879511487,0.0,0.5084077236539513,0.26607250597988097,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-5.2375877210177455,1.0861198559076088,0.0,1.4617387028046173e-6,0.26607250597988097,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.5348964616742805,1.3580174125413396,0.0,0.6936863067866278,0.43401026364474377,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,1.2010809152303246,0.7272462532026662,0.0,0.09869052757229504,0.43401026364474377,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-5.375063291510706,1.692666524121293,0.0,0.001504969049765712,0.43401026364474377,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.3897836533318811,0.8636893813039712,0.0,0.6517925966934067,0.7079457843841379,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,0.6980417955868529,6.938713453986082,0.0,0.9198712470923524,0.7079457843841379,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-5.062312653453645,1.2645864005963785,0.0,6.34231694179292e-5,0.7079457843841379,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.6693150401692878,1.3519373092213904,0.0,0.6205667260993992,1.1547819846894583,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,1.1547819846894583,0.6510231127766879,0.0,0.07615845531536905,1.1547819846894583,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-5.5791489228490105,1.6473702607754321,0.0,7.129024138154966e-4,1.1547819846894583,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,1.4643868303342544,2.7199547757468157,0.0,0.5903344927743299,1.8836490894898001,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,1.8836490894898001,0.09256850478672451,0.0,1.8240180932811863e-88,1.8836490894898001,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-7.130204067147769,4.399151135630129,0.0,0.10512134933335639,1.8836490894898001,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,4.8856761022482855,0.13593282571494947,10.0,1.4650251266920203e-251,3.072557365267447,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,3.0725571268489134,0.0034410233140095433,0.0,0.0,3.072557365267447,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-13.953191054724368,0.1293770427869499,50.0,0.0,3.072557365267447,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,34.07838598055016,0.4170982284708649,70.0,0.0,5.011872336272722,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,5.011871382598406,6.60992995728745e-5,0.0,0.0,5.011872336272722,-0.5,1.0,gwd3.0,FALSE,FALSE
edges,-72.33228251766465,0.790033649289021,92.0,0.0,5.011872336272722,-0.5,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.35639837751020714,0.33914693325782763,0.0,0.2933709315347668,0.1,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,-0.18040177710577482,1.056975897382192,0.0,0.8644845040776785,0.1,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
edges,-4.804102460851836,0.4563619765170582,0.0,1.209464286880462e-25,0.1,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.3509957474523354,0.3366691411677602,0.0,0.29720586493221984,0.16311729092278385,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,-0.18216633747596725,1.0741435369626606,0.0,0.8653378120315944,0.16311729092278385,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
edges,-4.800081935458546,0.45420572683343874,0.0,7.883821136031957e-26,0.16311729092278385,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.34998001725789984,0.3361178607416228,0.0,0.2978141534139281,0.26607250597988097,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
gwdegree.decay,-0.18779543510474947,1.0582719537146135,0.0,0.8591584332538258,0.26607250597988097,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
edges,-4.797306926542058,0.4485601643748372,0.0,2.085803208103645e-26,0.26607250597988097,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
gwdegree,0.3543992826691229,0.3361171260875879,0.0,0.29175487568784847,0.43401026364474377,-0.16666666666666669,1.0,gwd3.0,FALSE,FALSE
