
At 2016-10-15 00:35:29  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.1

At 2016-10-15 00:39:10  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.16

At 2016-10-15 00:42:20  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.27

At 2016-10-15 00:46:02  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.43

At 2016-10-15 00:49:57  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 0.71

At 2016-10-15 00:53:52  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.15

At 2016-10-15 00:57:48  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 1.88

At 2016-10-15 01:01:42  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 3.07

At 2016-10-15 01:05:02  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.5, decay = 5.01

At 2016-10-15 01:08:28  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.1

At 2016-10-15 01:12:00  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.16

At 2016-10-15 01:15:49  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.27

At 2016-10-15 01:19:25  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.43

At 2016-10-15 01:23:05  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 0.71

At 2016-10-15 01:27:01  Sim'ing on gwd1.0, edges constrained: FALSE, theta fixed: FALSE, mean degree: 1, coef: -0.17, decay = 1.15

