
At 2016-10-15 23:50:19  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 0.43

At 2016-10-16 00:01:36  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 0.71

At 2016-10-16 00:13:34  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 1.15

At 2016-10-16 00:25:03  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 1.88

At 2016-10-16 00:36:28  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 3.07

At 2016-10-16 00:48:44  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.5, decay = 5.01

At 2016-10-16 01:00:06  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.1

At 2016-10-16 01:06:52  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.16

At 2016-10-16 01:13:22  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.27

At 2016-10-16 01:19:00  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.43

At 2016-10-16 01:25:44  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 0.71

At 2016-10-16 01:32:23  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 1.15

At 2016-10-16 01:38:50  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 1.88

At 2016-10-16 01:44:23  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 3.07

At 2016-10-16 01:50:59  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: -0.17, decay = 5.01

